type,text
ham,"It's wylie, you in tampa or sarasota?"
ham,I dont understand your message.
ham,Rofl betta invest in some  anti aging products
ham,Just finished eating. Got u a plate. NOT leftovers this time.
spam,Last chance 2 claim ur Â£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. Â£3.00 Sub. 16 . Remove txt X or STOP
spam,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,No. I.ll meet you in the library
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
spam,You have WON a guaranteed Â£1000 cash or a Â£2000 prize.To claim yr prize call our customer service representative on
ham,Mmmm.... I cant wait to lick it!
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
ham,Dont worry. I guess he's busy.
ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
ham,Its ok..come to my home it vl nice to meet and v can chat..
ham,Free any day but i finish at 6 on mon n thurs...
ham,* You gonna ring this weekend or wot?
ham,Thanx but my birthday is over already.
ham,Tension ah?what machi?any problem?
ham,Si si. I think ill go make those oreo truffles.
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + # . Dont miss a delicious treat."
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,Hey mate. Spoke to the mag people. Weâ¬Ëre on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
ham,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
ham,Same to u...
ham,WHITE FUDGE OREOS ARE IN STORES
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,Sorry i missed your call. Can you please call back.
ham,Where do you need to go to get it?
ham,"I can make it up there, squeezed  #  bucks out of my dad"
ham,Then u wait 4 me at bus stop aft ur lect lar. If i dun c u then i go get my car then come back n pick u.
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,Oh that was a forwarded message. I thought you send that to me
ham,With my sis lor... We juz watched italian job.
ham,"Haha get used to driving to usf man, I know a lot of stoners"
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
spam,You have 1 new message. Call 0207-083-6089
ham,This weekend is fine (an excuse not to do too much decorating)
ham,* Will be september by then!
ham,How much i gave to you. Morning.
ham,Really? I crashed out cuddled on my sofa.
ham,Hope youâre not having too much fun without me!! see u tomorrow love jess x
ham,If india win or level series means this is record:)
ham,Good morning princess! How are you?
ham,Iâ¬Ëm parked next to a MINI!!!! When are you coming in today do you think?
ham,"I wake up long ago already... Dunno, what other thing?"
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,What about this one then.
ham,Text her. If she doesnt reply let me know so i can have her log in
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,Dude sux for snake. He got old and raiden got buff
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
ham,"Tonight? Yeah, I'd be down for that"
ham,K still are you loving me.
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pÂ£3.99
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,I liked the new mobile
spam,You have 1 new message. Please call 08718738034.
ham,Y lei?
spam,You have 1 new voicemail. Please call 08719181513.
ham,"Sorry, I'll call later"
ham,No da. I am happy that we sit together na
ham,I went to project centre
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
ham,U calling me right? Call my hand phone...
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
ham,I went to project centre
ham,Oh baby of the house. How come you dont have any new pictures on facebook
ham,I didn't get the second half of that message
ham,Pls give her prometazine syrup. 5mls then  # mins later feed.
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,Well there's still a bit left if you guys want to tonight
ham,How much she payed. Suganya.
ham,Wat time u wan today?
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham,Convey my regards to him
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ..."
ham,Wat uniform? In where get?
ham,Shant disturb u anymore... Jia you...
ham,"K, jason says he's gonna be around so I'll be up there around  #"
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,"Haha awesome, omw back now then"
ham,Thank god they are in bed!
ham,Hai ana tomarrow am coming on morning.  DECIMAL  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,Hope you are having a great day.
ham,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,"I'll see, but prolly yeah"
ham,I'm now but have to wait till 2 for the bus to pick me.
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,So when do you wanna gym?
ham,So how many days since then?
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,"Actually, just do whatever, do find an excuse to be in tampa at some point before january though"
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a Â£350 award. If your number matches call 09064019014 to receive your Â£350 award.
ham,I will send them to your email. Do you mind  #  times per night?
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,"Yeah I am, so I'll leave maybe 7ish?"
ham,I dled 3d its very imp
ham,Well that must be a pain to catch
ham,Hanging out with my brother and his family
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,I surely dont forgot to come:)i will always be in touch in with you:-)
ham,I want snow. It's just freezing and windy.
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,I;m reaching in another 2 stops.
ham,Got it. Seventeen pounds for seven hundred ml â¬â hope ok.
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
spam,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,And maybe some pressies
spam,Win a Â£1000 cash prize or a prize worth Â£5000
ham,No. But we'll do medical missions to nigeria
spam,Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
spam,This message is brought to you by GMW Ltd. and is not connected to the
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,* Am on a train back from northampton so i'm afraid not!
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,Still in the area of the restaurant. Ill try to come back soon
ham,I donno if they are scorable
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since # before I was even born!
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  # . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Any way where are you and what doing.
ham,Ok...
ham,"Sir, waiting for your letter."
ham,We are both fine. Thanks
ham,I've not sent it. He can send me.
spam,URGENT! We are trying to contact U Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
ham,Yup ok thanx...
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
ham,Yo im right by yo work
ham,No plm i will come da. On the way.
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
ham,Pls accept me for one day. Or am begging you change the number.
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
ham,Why didn't u call on your lunch?
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
ham,I doubt you could handle 5 times per night in any case...
ham,I'll probably be around mu a lot
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month 
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,Its normally hot mail. Com you see!
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,I plane to give on this month end.
ham,Iâ¬Ëll have a look at the frying pan in case itâ¬Ës cheap or a book perhaps. No thatâ¬Ës silly a frying pan isnâ¬Ët likely to be a book
ham,HARD BUT TRUE: How much you show &  express your love to someone....that much it will hurt when they leave you or you get seperated...!Ã©ËÂ¥âÂ¾??Ã£â¬Â¨ud evening...
ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
spam,"You've won tkts to the EURO2004 CUP FINAL or Â£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,Yo come over carlos will be here soon
ham,Oh k.k..where did you take test?
ham,Total video converter free download type this in google search:)
ham,Ok then i'll let him noe later n ask him call u tmr...
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATâS AL!!!!!!!!!
ham,Nothin comes to my mind. u help me buy hanger lor. Ur laptop not heavy?
ham,U dun say so early hor... U c already then say...
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
ham,"Awesome, be there in a minute"
ham,:-( that's not v romantic!
ham,Hello madam how are you ?
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to see me ? *sips cappuccino* I miss you babe *teasing kiss*
ham,Lol. Well quality aint bad at all so i aint complaining
ham,You said not now. No problem. When you can. Let me know.
ham,So lets make it saturday or monday as per convenience.
ham,PICK UR FONE UP NOW U DUMB?
ham,"I'm in a meeting, call me later at"
ham,Let me know when you've got the money so carlos can make the call
ham,"Sorry, I'll call later"
ham,Haf u found him? I feel so stupid da v cam was working.
ham,"It's cool, we can last a little while. Getting more any time soon?"
ham,"I can't, I don't have her number!"
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,How much are we getting?
spam,Missed call alert. These numbers called but left no message. 07008009200
ham,Oh. U must have taken your REAL Valentine out shopping first.
ham,Did u got that persons story
ham,Ok ok take care. I can understand.
ham,"K so am I, how much for an 8th? Fifty?"
ham,Yeah do! Donâ¬Ët stand to close tho- youâ¬Ëll catch something!
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
ham,U should have made an appointment
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
ham,Daddy will take good care of you :)
ham,Cramps stopped. Going back to sleep
ham,Will do. Have a good day
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,Thanx...
ham,WOT U WANNA DO THEN MISSY?
spam,URGENT We are trying to contact you Last weekends draw shows u have won a Â£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
ham,So no messages. Had food?
ham,Ok no prob...
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
ham,I know a few people I can hit up
ham,"Great. I'm in church now, will holla when i get out"
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,How did you find out in a way that didn't include all of these details
ham,"Short But Cute :  Be a good person , but dont try to prove ..... Gud mrng..."
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pÂ£3.99
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams
ham,Nope thats fine. I might have a nap tho! 
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
ham,Yup i shd haf ard 10 pages if i add figures... u all got how many pages?
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
spam,WINNER! As a valued network customer you hvae been selected to receive a Â£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
ham,Takin a shower now but yeah I'll leave when I'm done
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,"What i mean was i left too early to check, cos i'm working a 9-6."
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
ham,Wat happened to the cruise thing
ham,Glad to see your reply.
ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
ham,"Erm ... ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
ham,I want to sent  # mesages today. Thats y. Sorry if i hurts
ham,"How about clothes, jewelry, and trips?"
ham,"I av a new number,  . Wil u only use this one,ta."
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
ham,I cant pick the phone right now. Pls send a message
ham,what are your new years plans?
ham,Did you show him and wot did he say or could u not c him 4 dust?
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,"Babe, I need your advice"
ham,Hey tmr maybe can meet you at yck
ham,"Wat time liao, where still got."
ham,Don know..wait i will check it.
ham,Well then you have a great weekend!
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
ham,"Just making dinner, you ?"
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
ham,Sounds great! Are you home now?
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
ham,You are not bothering me but you have to trust my answers. Pls.
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,I'm good. Have you registered to vote?
ham,I dun believe u. I thk u told him.
ham,"Fyi I'm taking a quick shower, be at epsilon in like  #  min"
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING & HAVE A SMILEY SUNDAY..:)
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who smokes too much for the entire month of february, I'll come up"
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me & u dont tell me......... Take care:-)
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
ham,Hui xin is in da lib.
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,"Mostly sports type..lyk footbl,crckt.."
ham,I keep ten rs in my shelf:) buy two egg.
ham,Me too! Have a lovely night xxx
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
ham,Mm so you asked me not to call radio
ham,Nope i'll come online now..
ham,Super msg da:)nalla timing.
ham,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
ham,Hi good mornin.. Thanku wish u d same..
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,Ok thanx...
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
ham,"Sorry, got a late start, we're on the way"
ham,I guess it is useless calling u 4 something important.
ham,Where is that one day training:-)
ham,There's someone here that has a year  #  toyota camry like mr olayiwola's own. Mileage is  # k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
ham,I am not at all happy with what you saying or doing
ham,here is my new address -apples&pairs&all that malarky
ham,I'm at work. Please call
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,Re your call; You didn't see my facebook huh?
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
ham,"I get out of class in bsn in like  #  minutes, you know where advising is?"
ham,Wat r u doing now?
ham,Yep. I do like the pink furniture tho.
spam,UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub
ham,Go where n buy? Juz buy when we get there lar.
ham,Ok
ham,"Me not waking up until 4 in the afternoon, sup"
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
ham,Howz that persons story
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
spam,Todays Voda numbers ending with 7634 are selected to receive a Â£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
ham,"That's very rude, you on campus?"
ham,"Sorry, I'll call later"
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
ham,Please don't text me anymore. I have nothing else to say.
ham,"... we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon "
ham,K. Did you call me just now ah? 
ham,Okie.. Thanx..
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,Is fujitsu s series lifebook good?
ham,Ok then i will come to ur home after half an hour
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
ham,Surly ill give it to you:-) while coming to review.
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Is xy going 4 e lunch?
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
ham,Probably a couple hours tops
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,I told your number to gautham..
ham,What's ur pin?
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .
ham,Mathews or tait or edwards or anderson
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,"Coffee cake, i guess..."
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"Sir, i am waiting for your call."
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,I'll text now! All creepy like so he won't think that we forgot
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp Â£1.50/msg
spam,83039 62735=Â£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
ham,He remains a bro amongst bros
ham,"If you want to mapquest it or something look up usf dogwood drive, that's the tiny street where the parking lot is"
ham,Yes when is the appt again?
ham,Didn't you get hep b immunisation in nigeria.
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  # bucks
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
ham,Do 1 thing! Change that sentence into: Because i want 2 concentrate in my educational career im leaving here..
ham,Well she's in for a big surprise!
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,i cant talk to you now.i will call when i can.dont keep calling.
ham,Oh yah... We never cancel leh... Haha 
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,I sent them. Do you like?
ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  # .irritating  # .lovable. reply me..
ham,Thanks  and ! Or bomb and date as my phone wanted to say! 
ham,"Ya ok, vikky vl c witin  # mins and il reply u.."
ham,u called dad oredi...
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,"Aight, sounds good. When do you want me to come down?"
ham,No..he joined today itself.
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  # Lacs.there is no source to arng dis amt. # lacs..thats my prob
ham,Must come later.. I normally bathe him in da afternoon mah..
ham,"K I'll head out in a few mins, see you there"
spam,"Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
ham,Have you always been saying welp?
ham,Was the actual exam harder than NBME
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
ham,Love you aathi..love u lot..
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
ham,From here after The performance award is calculated every two month.not for current one month period..
